,sex,age,monthly_income,purchased,education,product,quality
82,1,35,26,0,1,2,1
83,0,38,18,0,1,2,1
84,1,35,25,0,1,2,1
85,0,38,21,0,1,2,1
86,0,41,21,0,1,2,1
87,1,39,25,0,1,2,1
88,0,39,19,0,1,2,1
89,1,39,23,0,1,2,1
90,1,42,21,0,1,2,1
91,0,42,17,0,1,2,1
92,0,46,24,0,1,2,1
93,0,37,26,0,1,2,1
94,0,38,16,0,1,2,1
95,0,39,24,0,1,2,1
96,0,42,26,0,1,2,1
97,1,42,18,0,1,2,1
98,0,41,24,0,1,2,1
99,0,37,19,0,1,2,1
100,1,37,25,0,1,2,1
101,1,38,20,0,1,2,1
102,1,38,23,0,1,2,1
103,1,37,17,0,1,2,1
104,0,42,23,0,1,2,1
105,0,51,44,0,1,2,1
106,1,39,14,0,1,2,1
107,0,38,37,0,1,2,1
108,1,40,19,0,1,2,1
109,0,37,26,0,1,2,1
110,0,46,27,0,1,2,1
111,1,38,19,0,1,2,1
112,0,41,24,0,1,2,1
113,0,35,16,0,1,2,1
114,1,41,17,0,1,2,1
115,0,44,13,0,1,2,1
116,1,37,17,0,1,2,1
117,0,50,14,0,1,2,1
118,0,41,24,0,1,2,1
119,1,40,19,0,1,2,1
120,0,35,25,0,1,2,1
121,0,35,24,0,1,2,1
122,1,40,25,0,1,2,1
123,1,42,18,0,1,2,1
124,0,40,20,0,1,2,1
125,1,45,26,0,1,2,1
126,0,36,21,0,1,2,1
127,0,35,19,0,1,2,1
128,1,37,25,0,1,2,1
129,0,38,16,0,1,2,1
130,1,41,26,0,1,2,1
131,1,48,47,0,1,2,1
132,1,35,20,0,1,2,1
133,1,38,23,0,1,2,1
134,0,43,44,0,1,2,1
135,1,40,20,0,1,2,1
136,1,37,24,0,1,2,1
137,0,37,20,0,1,2,1
138,1,19,10,0,1,2,1
139,1,35,10,0,1,2,1
140,1,31,10,0,1,2,1
141,0,59,27,0,1,2,1
142,1,24,19,0,1,2,1
143,0,26,24,0,1,2,1
144,1,24,10,0,1,2,1
145,0,27,28,0,1,2,1
146,0,23,27,0,1,2,1
147,1,27,19,0,1,2,1
148,1,19,25,0,1,2,1
149,0,22,21,0,1,2,1
150,0,31,22,0,1,2,1
151,0,27,19,0,1,2,1
152,1,25,26,0,1,2,1
153,0,23,22,0,1,2,1
154,0,24,10,0,1,2,1
155,0,33,37,0,1,2,1
156,1,30,16,0,1,2,1
157,1,32,10,0,1,2,1
158,0,33,10,0,1,2,1
159,1,18,17,0,1,2,1
160,1,35,10,0,1,2,1
161,1,23,10,0,1,2,1
162,0,28,29,0,1,2,1
163,0,26,14,0,1,2,1
164,0,26,10,0,1,2,1
165,1,27,30,0,1,2,1
166,1,30,26,0,1,2,1
167,0,20,10,0,1,2,1
168,0,27,10,0,1,2,1
169,1,25,11,0,1,2,1
170,1,25,29,0,1,2,1
171,1,25,26,0,1,2,1
172,1,29,26,0,1,2,1
173,1,18,27,0,1,2,1
174,1,32,10,0,1,2,1
175,0,27,18,0,1,2,1
176,0,28,19,0,1,2,1
177,1,20,28,0,1,2,1
178,0,31,29,0,1,2,1
179,0,24,10,0,1,2,1
180,0,28,28,0,1,2,1
181,0,18,14,0,1,2,1
182,1,30,10,0,1,2,1
183,0,26,17,0,1,2,1
184,0,29,27,0,1,2,1
185,0,26,26,0,1,2,1
186,0,35,10,0,1,2,1
187,0,27,19,0,1,2,1
188,1,35,36,0,1,2,1
189,0,24,18,0,1,2,1
190,0,23,16,0,1,2,1
191,1,28,26,0,1,2,1
192,0,35,21,0,1,2,1
193,1,22,10,0,1,2,1
194,0,32,39,0,1,2,1
195,1,27,10,0,1,2,1
196,0,33,17,0,1,2,1
197,0,27,10,0,1,2,1
198,0,28,14,0,1,2,1
199,1,39,14,0,1,2,1
200,0,22,10,0,1,2,1
201,1,35,29,0,1,2,1
202,0,39,23,0,1,2,1
203,1,20,16,0,1,2,1
204,1,38,20,0,1,2,1
205,1,35,10,0,1,2,1
206,1,37,18,0,1,2,1
207,1,42,26,0,1,2,1
208,1,40,19,0,1,2,1
209,1,35,25,0,1,2,1
210,1,36,17,0,1,2,1
211,1,40,19,0,1,2,1
212,1,41,19,0,1,2,1
213,1,29,14,0,1,2,1
214,0,36,25,0,1,2,1
215,1,37,24,0,1,2,1
216,0,38,26,0,1,2,1
217,0,40,25,0,1,2,1
218,0,41,17,0,1,2,1
219,0,39,20,0,1,2,1
220,1,42,21,0,1,2,1
221,1,26,10,0,1,2,1
222,1,30,10,0,1,2,1
223,0,26,28,0,1,2,1
224,1,31,19,0,1,2,1
225,1,33,10,0,1,2,1
226,1,31,24,0,1,2,1
227,1,30,29,0,1,2,1
228,0,21,22,0,1,2,1
229,0,28,18,0,1,2,1
230,1,23,21,0,1,2,1
231,0,20,27,0,1,2,1
232,1,35,17,0,1,2,1
233,1,26,28,0,1,2,1
234,0,37,23,0,1,2,1
235,1,35,24,0,1,2,1
236,0,35,14,0,1,2,1
237,1,26,10,0,1,2,1
238,0,35,10,0,1,2,1
239,0,21,10,0,1,2,1
240,1,27,29,0,1,2,1
241,0,28,12,0,1,2,1
242,0,30,38,0,1,2,1
243,1,22,27,0,1,2,1
244,1,35,16,0,1,2,1
245,0,29,27,0,1,2,1
246,1,26,27,0,1,2,1
247,0,28,28,0,1,2,1
248,1,28,19,0,1,2,1
249,0,32,28,0,1,2,1
250,0,19,10,0,1,2,1
251,1,24,18,0,1,2,1
252,1,21,24,0,1,2,1
253,0,26,11,0,1,2,1
254,0,30,20,0,1,2,1
255,1,27,29,0,1,2,1
256,0,29,10,0,1,2,1
257,1,45,10,1,1,2,1
258,1,47,10,1,1,2,1
259,1,36,39,1,1,2,1
260,0,47,17,1,1,2,1
261,1,46,10,1,1,2,1
262,1,49,10,1,1,2,1
263,1,57,20,1,1,2,1
264,0,47,35,1,1,2,1
265,1,39,40,1,1,2,1
266,0,48,10,1,1,2,1
267,0,48,10,1,1,2,1
268,0,47,10,1,1,2,1
269,1,46,10,1,1,2,1
270,0,48,39,1,1,2,1
271,1,45,10,1,1,2,1
272,1,58,48,1,1,2,1
273,0,48,43,1,1,2,1
274,0,45,10,1,1,2,1
275,0,47,16,1,1,2,1
276,1,48,13,1,1,2,1
277,0,53,34,1,1,2,1
278,1,47,35,1,1,2,1
279,1,30,35,1,1,2,1
280,1,53,24,1,1,2,1
281,0,58,10,1,1,2,1
282,1,48,11,1,1,2,1
283,0,44,46,1,1,2,1
284,1,49,10,1,1,2,1
285,0,57,11,1,1,2,1
286,1,56,20,1,1,2,1
287,0,49,13,1,1,2,1
288,1,41,29,1,1,2,1
289,1,47,11,1,1,2,1
290,1,48,11,1,1,2,1
291,1,47,10,1,1,2,1
292,0,45,15,1,1,2,1
293,1,60,14,1,1,2,1
294,0,46,13,1,1,2,1
295,1,51,10,1,1,2,1
296,0,50,10,1,1,2,1
297,0,48,11,1,1,2,1
298,0,53,27,1,1,2,1
299,1,59,43,1,1,2,1
300,0,32,50,1,1,2,1
301,0,54,36,1,1,2,1
302,0,38,37,1,1,2,1
303,0,42,30,1,1,2,1
304,1,36,33,1,1,2,1
305,1,60,11,1,1,2,1
306,1,54,23,1,1,2,1
307,1,40,23,1,1,2,1
308,1,43,43,1,1,2,1
309,0,53,11,1,1,2,1
310,0,47,16,1,1,2,1
311,1,42,34,1,1,2,1
312,0,59,10,1,1,2,1
313,0,58,15,1,1,2,1
314,1,46,29,1,1,2,1
315,0,54,10,1,1,2,1
316,0,60,15,1,1,2,1
317,1,60,27,1,1,2,1
318,1,47,10,1,1,2,1
319,0,46,10,1,1,2,1
320,1,30,45,1,1,2,1
321,1,45,10,1,1,2,1
322,0,36,42,1,1,2,1
323,1,56,44,1,1,2,1
324,0,42,26,1,1,2,1
325,0,35,49,1,1,2,1
326,1,40,35,1,1,2,1
327,1,49,28,1,1,2,1
328,1,46,26,1,1,2,1
329,1,60,34,1,1,2,1
330,1,32,40,1,1,2,1
331,1,42,49,1,1,2,1
332,0,50,29,1,1,2,1
333,0,56,34,1,1,2,1
334,0,51,48,1,1,2,1
335,0,57,40,1,1,2,1
336,0,35,32,1,1,2,1
337,0,48,44,1,1,2,1
338,0,53,47,1,1,2,1
339,0,37,48,1,1,2,1
340,1,37,48,1,1,2,1
341,1,59,47,1,1,2,1
342,0,27,32,1,1,2,1
343,0,32,45,1,1,2,1
344,1,32,33,1,1,2,1
345,1,29,49,1,1,2,1
346,0,33,49,1,1,2,1
347,0,32,39,1,1,2,1
348,1,28,41,1,1,2,1
349,1,35,30,1,1,2,1
350,0,31,39,1,1,2,1
351,0,58,33,1,1,2,1
352,0,55,43,1,1,2,1
353,0,40,47,1,1,2,1
354,0,48,32,1,1,2,1
355,1,52,50,1,1,2,1
356,1,34,37,1,1,2,1
357,0,60,36,1,1,2,1
358,0,39,44,1,1,2,1
359,0,52,46,1,1,2,1
360,0,52,30,1,1,2,1
361,0,45,43,1,1,2,1
362,1,49,29,1,1,2,1
363,1,55,13,1,1,2,1
364,1,42,24,1,1,2,1
365,0,43,37,1,1,2,1
366,1,46,39,1,1,2,1
367,0,58,12,1,1,2,1
368,1,48,24,1,1,2,1
369,1,39,44,1,1,2,1
370,0,37,45,1,1,2,1
371,0,47,37,1,1,2,1
372,1,36,41,1,1,2,1
373,1,39,32,1,1,2,1
374,0,49,47,1,1,2,1
375,0,27,45,1,1,2,1
376,0,39,25,1,1,2,1
377,0,54,34,1,1,2,1
378,1,37,26,1,1,2,1
379,0,58,31,1,1,2,1
380,0,37,26,1,1,2,1
381,0,37,31,1,1,2,1
382,1,36,48,1,1,2,1
383,0,55,41,1,1,2,1
384,1,48,30,1,1,2,1
385,0,42,36,1,1,2,1
386,0,47,48,1,1,2,1
387,0,59,25,1,1,2,1
388,1,60,14,1,1,2,1
389,0,48,46,1,1,2,1
390,1,39,35,1,1,2,1
391,1,57,24,1,1,2,1
392,1,49,29,1,1,2,1
393,0,52,12,1,1,2,1
394,0,50,12,1,1,2,1
395,0,59,29,1,1,2,1
396,1,37,23,1,1,2,1
397,0,52,10,1,1,2,1
398,0,57,10,1,1,2,1
399,0,49,12,1,1,2,1
400,1,14,10,0,0,2,0
401,1,21,10,0,1,2,0
402,0,26,20,0,1,2,0
403,1,28,11,0,1,2,0
404,0,28,16,0,1,2,0
405,1,26,18,0,1,2,0
406,0,15,24,0,1,2,0
407,0,28,10,0,1,2,0
408,1,30,20,0,1,2,0
409,1,23,10,0,1,2,0
410,1,19,24,0,1,2,0
411,0,14,10,0,1,2,0
412,1,24,11,0,1,2,0
413,1,14,20,0,1,2,0
414,1,23,26,0,1,2,0
415,1,29,11,0,1,2,0
416,0,25,23,0,1,2,0
417,0,15,10,0,1,2,0
418,0,41,28,0,1,2,0
419,1,35,22,0,1,2,0
420,1,44,18,0,1,2,0
421,1,42,11,0,1,2,0
422,1,30,16,0,1,2,0
423,0,54,10,0,1,2,0
424,0,26,10,0,1,2,0
425,0,41,10,0,1,2,0
426,0,42,12,0,1,2,0
427,0,36,20,0,1,2,0
428,1,44,21,0,1,2,0
429,1,30,10,0,1,2,0
430,1,31,10,0,1,2,0
431,1,21,23,0,1,2,0
432,0,47,34,0,1,2,0
433,0,36,23,0,1,2,0
434,1,19,10,0,1,2,0
435,0,30,12,0,1,2,0
436,0,13,19,0,0,2,0
437,1,30,16,0,0,2,0
438,1,25,26,0,0,2,0
439,0,29,10,0,0,2,0
440,0,19,26,0,0,2,0
441,0,36,10,0,0,2,0
442,1,24,17,0,0,2,0
443,1,15,21,0,0,2,0
444,0,21,10,0,0,2,0
445,1,36,11,0,0,2,0
446,1,26,22,0,0,2,0
447,0,31,13,0,0,2,0
448,1,35,12,0,0,2,0
449,0,26,10,0,0,2,0
450,1,41,16,0,0,2,0
451,1,24,21,0,0,2,0
452,1,21,10,0,0,2,0
453,0,18,10,0,1,2,0
454,0,29,20,0,1,2,0
455,0,29,11,0,1,2,0
456,0,21,36,0,1,2,0
457,1,29,35,0,1,2,0
458,1,16,26,0,1,2,0
459,1,20,10,0,1,2,0
460,0,24,12,0,1,2,0
461,0,17,15,0,1,2,0
462,0,13,25,0,1,2,0
463,0,28,19,0,1,2,0
464,1,30,10,0,1,2,0
465,0,32,10,0,1,2,0
466,1,20,26,0,1,2,0
467,0,30,20,0,1,2,0
468,1,14,25,0,0,2,0
469,0,30,16,0,1,2,0
470,0,35,20,0,1,2,0
471,0,34,23,0,1,2,0
472,1,30,15,0,1,2,0
473,1,31,16,0,1,2,0
474,1,36,14,0,1,2,0
475,0,36,16,0,1,2,0
476,1,36,20,0,1,2,0
477,0,37,21,0,1,2,0
478,1,33,13,0,1,2,0
479,1,37,18,0,1,2,0
480,1,35,18,0,1,2,0
481,0,31,14,0,1,2,0
482,1,30,23,0,1,2,0
483,0,33,15,0,1,2,0
484,1,30,21,0,1,2,0
485,0,33,18,0,1,2,0
486,0,36,17,0,1,2,0
487,1,34,22,0,1,2,0
488,0,34,16,0,1,2,0
489,1,34,20,0,1,2,0
490,1,37,18,0,1,2,0
491,0,37,14,0,1,2,0
492,0,41,21,0,1,2,0
493,0,32,23,0,1,2,0
494,0,33,13,0,1,2,0
495,0,34,21,0,1,2,0
496,0,37,23,0,1,2,0
497,1,37,14,0,1,2,0
498,0,36,20,0,1,2,0
499,0,32,15,0,1,2,0
500,1,32,21,0,1,2,0
501,1,33,17,0,1,2,0
502,1,33,20,0,1,2,0
503,1,32,14,0,1,2,0
504,0,37,20,0,1,2,0
505,0,46,41,0,1,2,0
506,1,34,10,0,1,2,0
507,0,33,34,0,1,2,0
508,1,35,15,0,1,2,0
509,0,32,23,0,1,2,0
510,0,41,24,0,1,2,0
511,1,33,16,0,1,2,0
512,0,36,20,0,1,2,0
513,0,30,13,0,1,2,0
514,1,36,14,0,1,2,0
515,0,39,10,0,1,2,0
516,1,32,14,0,1,2,0
517,0,45,11,0,1,2,0
518,0,36,20,0,1,2,0
519,1,35,15,0,1,2,0
520,0,30,22,0,1,2,0
521,0,30,20,0,1,2,0
522,1,35,21,0,1,2,0
523,1,37,14,0,1,2,0
524,0,35,16,0,1,2,0
525,1,40,23,0,1,2,0
526,0,31,17,0,1,2,0
527,0,30,15,0,1,2,0
528,1,32,22,0,1,2,0
529,0,33,13,0,1,2,0
530,1,36,23,0,1,2,0
531,1,43,43,0,1,2,0
532,1,30,17,0,1,2,0
533,1,33,20,0,1,2,0
534,0,38,41,0,1,2,0
535,1,35,17,0,1,2,0
536,1,32,21,0,1,2,0
537,0,32,17,0,1,2,0
538,1,14,10,0,0,2,0
539,1,30,10,0,1,2,0
540,1,26,10,0,0,2,0
541,0,54,24,0,0,2,0
542,1,19,16,0,0,2,0
543,0,21,20,0,0,2,0
544,1,19,10,0,0,2,0
545,0,22,24,0,0,2,0
546,0,18,24,0,0,2,0
547,1,22,16,0,0,2,0
548,1,14,22,0,0,2,0
549,0,17,17,0,0,2,0
550,0,26,19,0,0,2,0
551,0,22,15,0,0,2,0
552,1,20,23,0,0,2,0
553,0,18,18,0,0,2,0
554,0,19,10,0,0,2,0
555,0,28,34,0,0,2,0
556,1,25,13,0,0,2,0
557,1,27,10,0,0,2,0
558,0,28,10,0,0,2,0
559,1,13,14,0,0,2,0
560,1,30,10,0,0,2,0
561,1,18,10,0,0,2,0
562,0,23,25,0,0,2,0
563,0,21,11,0,0,2,0
564,0,21,10,0,0,2,0
565,1,22,26,0,0,2,0
566,1,25,23,0,0,2,0
567,0,15,10,0,0,2,0
568,0,22,10,0,0,2,0
569,1,20,10,0,0,2,0
570,1,20,25,0,0,2,0
571,1,20,23,0,0,2,0
572,1,24,23,0,0,2,0
573,1,13,24,0,0,2,0
574,1,27,10,0,0,2,0
575,0,22,14,0,0,2,0
576,0,23,16,0,0,2,0
577,1,15,25,0,0,2,0
578,0,26,26,0,0,2,0
579,0,19,10,0,0,2,0
580,0,23,24,0,0,2,0
581,0,13,11,0,0,2,0
582,1,25,10,0,0,2,0
583,0,21,14,0,0,2,0
584,0,24,24,0,0,2,0
585,0,21,23,0,0,2,0
586,0,30,10,0,0,2,0
587,0,22,16,0,0,2,0
588,1,30,32,0,0,2,0
589,0,19,15,0,0,2,0
590,0,18,12,0,0,2,0
591,1,23,23,0,0,2,0
592,0,30,18,0,0,2,0
593,1,17,10,0,0,2,0
594,0,27,35,0,0,2,0
595,1,22,10,0,0,2,0
596,0,28,13,0,0,2,0
597,0,22,10,0,0,2,0
598,0,23,11,0,0,2,0
599,1,34,10,0,0,2,0
600,0,17,10,0,0,2,0
601,1,30,26,0,0,2,0
602,0,34,20,0,0,2,0
603,1,15,13,0,0,2,0
604,1,33,17,0,0,2,0
605,1,30,10,0,0,2,0
606,1,32,15,0,0,2,0
607,1,37,23,0,0,2,0
608,1,35,15,0,0,2,0
609,1,30,21,0,0,2,0
610,1,31,14,0,0,2,0
611,1,35,16,0,0,2,0
612,1,36,16,0,0,2,0
613,1,24,11,0,0,2,0
614,0,31,21,0,0,2,0
615,1,32,20,0,0,2,0
616,0,33,23,0,0,2,0
617,0,35,21,0,0,2,0
618,0,36,13,0,0,2,0
619,0,34,17,0,0,2,0
620,1,37,18,0,0,2,0
621,1,21,10,0,0,2,0
622,1,25,10,0,0,2,0
623,0,21,24,0,0,2,0
624,1,26,16,0,0,2,0
625,1,28,10,0,0,2,0
626,1,26,21,0,0,2,0
627,1,25,25,0,0,2,0
628,0,16,19,0,0,2,0
629,0,23,15,0,0,2,0
630,1,18,17,0,0,2,0
631,0,15,24,0,0,2,0
632,1,30,14,0,0,2,0
633,1,21,25,0,0,2,0
634,0,32,20,0,0,2,0
635,1,30,21,0,0,2,0
636,0,30,11,0,0,2,0
637,1,21,10,0,0,2,0
638,0,30,10,0,0,2,0
639,0,16,10,0,0,2,0
640,1,22,26,0,0,2,0
641,0,23,10,0,0,2,0
642,0,25,35,0,0,2,0
643,1,17,23,0,0,2,0
644,1,30,13,0,0,2,0
645,0,24,24,0,0,2,0
646,1,21,23,0,0,2,0
647,0,23,25,0,0,2,0
648,1,23,16,0,0,2,0
649,0,27,25,0,0,2,0
650,0,14,10,0,0,2,0
651,1,19,15,0,0,2,0
652,1,16,20,0,0,2,0
653,0,21,10,0,0,2,0
654,0,25,17,0,0,2,0
655,1,22,26,0,0,2,0
656,0,24,10,0,0,2,0
657,1,40,10,1,0,2,0
658,1,42,10,1,0,2,0
659,1,31,36,1,1,2,0
660,0,42,13,1,1,2,0
661,1,41,10,1,0,2,0
662,1,44,10,1,0,2,0
663,1,52,16,1,1,2,0
664,0,42,32,1,1,2,0
665,1,34,37,1,1,2,0
666,0,43,10,1,0,2,0
667,0,43,10,1,1,2,0
668,0,42,10,1,0,2,0
669,1,41,10,1,0,2,0
670,0,43,36,1,1,2,0
671,1,40,10,1,0,2,0
672,1,53,44,1,1,2,0
673,0,43,40,1,1,2,0
674,0,40,10,1,0,2,0
675,0,42,13,1,0,2,0
676,1,43,10,1,0,2,0
677,0,48,31,1,1,2,0
678,1,42,31,1,1,2,0
679,1,25,32,1,0,2,0
680,1,48,20,1,1,2,0
681,0,53,10,1,1,2,0
682,1,43,10,1,1,2,0
683,0,39,43,1,1,2,0
684,1,44,10,1,1,2,0
685,0,52,10,1,1,2,0
686,1,51,16,1,1,2,0
687,0,44,10,1,1,2,0
688,1,36,25,1,1,2,0
689,1,42,10,1,1,2,0
690,1,43,10,1,1,2,0
691,1,42,10,1,1,2,0
692,0,40,11,1,1,2,0
693,1,55,10,1,1,2,0
694,0,41,10,1,1,2,0
695,1,46,10,1,1,2,0
696,0,45,10,1,1,2,0
697,0,43,10,1,1,2,0
698,0,48,24,1,1,2,0
699,1,54,40,1,1,2,0
700,0,27,46,1,0,2,0
701,0,49,32,1,1,2,0
702,0,33,34,1,1,2,0
703,0,37,26,1,1,2,0
704,1,31,29,1,1,2,0
705,1,55,10,1,1,2,0
706,1,49,20,1,1,2,0
707,1,35,20,1,1,2,0
708,1,38,39,1,1,2,0
709,0,48,10,1,1,2,0
710,0,42,13,1,1,2,0
711,1,37,31,1,1,2,0
712,0,54,10,1,1,2,0
713,0,53,12,1,1,2,0
714,1,41,26,1,1,2,0
715,0,49,10,1,1,2,0
716,0,55,12,1,1,2,0
717,1,55,24,1,1,2,0
718,1,42,10,1,0,2,0
719,0,41,10,1,1,2,0
720,1,25,41,1,0,2,0
721,1,40,10,1,1,2,0
722,0,31,38,1,1,2,0
723,1,51,41,1,1,2,0
724,0,37,23,1,1,2,0
725,0,30,45,1,1,2,0
726,1,35,32,1,1,2,0
727,1,44,25,1,1,2,0
728,1,41,23,1,1,2,0
729,1,55,30,1,1,2,0
730,1,27,36,1,0,2,0
731,1,37,46,1,1,2,0
732,0,45,26,1,1,2,0
733,0,51,31,1,1,2,0
734,0,46,45,1,1,2,0
735,0,52,37,1,1,2,0
736,0,30,29,1,1,2,0
737,0,43,41,1,1,2,0
738,0,48,44,1,1,2,0
739,0,32,45,1,1,2,0
740,1,32,44,1,1,2,0
741,1,54,44,1,1,2,0
742,0,22,28,1,0,2,0
743,0,27,41,1,0,2,0
744,1,27,30,1,1,2,0
745,1,24,46,1,1,2,0
746,0,28,46,1,0,2,0
747,0,27,35,1,1,2,0
748,1,23,37,1,0,2,0
749,1,30,27,1,1,2,0
750,0,26,36,1,0,2,0
751,0,53,30,1,1,2,0
752,0,50,40,1,1,2,0
753,0,35,44,1,1,2,0
754,0,43,28,1,1,2,0
755,1,47,46,1,1,2,0
756,1,29,34,1,0,2,0
757,0,55,32,1,1,2,0
758,0,34,41,1,1,2,0
759,0,47,42,1,1,2,0
760,0,47,26,1,1,2,0
761,0,40,40,1,1,2,0
762,1,44,26,1,1,2,0
763,1,50,10,1,1,2,0
764,1,37,21,1,1,2,0
765,0,38,34,1,1,2,0
766,1,41,35,1,1,2,0
767,0,53,10,1,1,2,0
768,1,43,21,1,1,2,0
769,1,34,41,1,1,2,0
770,0,32,42,1,1,2,0
771,0,42,34,1,1,2,0
772,1,31,38,1,1,2,0
773,1,34,28,1,1,2,0
774,0,44,43,1,1,2,0
775,0,22,42,1,0,2,0
776,0,34,21,1,1,2,0
777,0,49,31,1,1,2,0
778,1,32,23,1,1,2,0
779,0,53,28,1,1,2,0
780,0,32,22,1,1,2,0
781,0,32,27,1,1,2,0
782,1,31,44,1,1,2,0
783,0,50,38,1,1,2,0
784,1,43,26,1,1,2,0
785,0,37,32,1,1,2,0
786,0,42,44,1,1,2,0
787,0,54,22,1,1,2,0
788,1,55,10,1,1,2,0
789,0,43,42,1,1,2,0
790,1,34,32,1,1,2,0
791,1,52,21,1,1,2,0
792,1,44,26,1,1,2,0
793,0,47,10,1,1,2,0
794,0,45,10,1,1,2,0
795,0,54,26,1,1,2,0
796,1,32,20,1,1,2,0
797,0,47,10,1,1,2,0
798,0,52,10,1,1,2,0
799,0,44,10,1,1,2,0
